facility_name,city,facility_type,rooms,capacity,latitude,longitude
가평연새장례식장,가평군,사설,4,8,37.766152214,127.4459213631
가평군농협효문화센터,가평군,사설,4,8,37.79801592770001,127.48141706000001
일산백장례서비스(주),고양시,사설,7,14,37.6742710122,126.7503817665
주식회사 헤븐앤어스,고양시,사설,8,18,37.6424745722,126.8317454892
베스트장례식장,고양시,사설,5,8,37.69040325460001,126.7601550858
원당장례식장(주)고양베스,고양시,사설,7,12,37.655294494299994,126.8354737878
국민건강보험공단일산병원장례식장,고양시,공설,9,14,37.6454752678,126.79296319520002
동국대학교일산장례식장,고양시,사설,13,28,37.6764385211,126.80556305100001
쉴낙원 일산장례식장,고양시,사설,6,10,37.644432099300005,126.76243625450002
일산복음병원장례식장,고양시,사설,5,10,37.6818751238,126.780279021
원당연세장례식장,고양시,사설,2,6,37.65512248430001,126.83533927929999
광명성애병원장례식장,광명시,사설,7,12,37.4730459543,126.8722172235
예지원장례식장,광명시,사설,4,8,37.47432797689999,126.852562015
중앙대학교광명병원장례식장,광명시,사설,8,18,37.424579704600006,126.8859245166
곤지암농협장례문화원,광주시,사설,4,8,37.3593192571,127.3212650094
오포장례식장,광주시,사설,3,6,37.3512964998,127.1867053383
곤지암장례식장,광주시,사설,3,8,37.35691261310001,127.32130459220001
삼육병원장례식장,광주시,사설,5,8,37.4195110154,127.28707108549999
경안장례식장,광주시,사설,4,10,37.4016979177,127.2451243512
원진녹색병원장례식장,구리시,사설,6,6,37.605924692100004,127.13388752760001
윤서병원장례식장,구리시,사설,5,8,37.604940819099994,127.1392850979
한양대학교구리병원장례식장,구리시,사설,4,8,37.6011883667,127.1325173047
학교법인영산학원 산본장례식장,군포시,사설,3,8,37.35941424039999,126.93360077099999
지샘병원장례식장,군포시,사설,4,8,37.3586407829,126.94730389020002
아너스힐병원장례식장,김포시,사설,4,6,37.683936662,126.60840773690002
마송장례식장,김포시,사설,8,6,37.68570993910001,126.60810297669998
뉴고려병원장례식장,김포시,사설,3,6,37.640963919,126.66025553800002
우리병원장례예식장,김포시,사설,5,12,37.633001008899996,126.71055179130002
쉴낙원김포장례식장,김포시,사설,8,12,37.607165291899996,126.71540203130002
남양주혜성병원장례식장,남양주시,사설,4,6,37.6501069941,127.2383376486
백년장례문화원,남양주시,사설,4,10,37.65318510450001,127.26174838689998
원병원장례식장,남양주시,사설,5,12,37.6519114852,127.3043775936
나눔병원장례식장,남양주시,사설,3,8,37.698115061500005,127.20157490870001
남양주장례식장(구 남양동산),남양주시,사설,3,10,37.67597033340001,127.2055873053
남양주한양병원장례식장,남양주시,사설,5,12,37.68232159829999,127.20432602720001
동두천중앙성모장례식장,동두천시,사설,3,6,37.9088541736,127.0540469152
예드림장례식장,동두천시,사설,4,8,37.9068599484,127.0510558433
이담장례식장,동두천시,사설,6,8,37.9081637185,127.0363051342
동두천장례식장,동두천시,사설,2,4,37.9517617585,127.0628479903
순천향부천장례식장,부천시,사설,6,14,37.4983685015,126.7621105079
부천시민장례식장,부천시,사설,5,8,37.4893412271,126.7832955302
다니엘병원장례식장(구 늘푸른장례식장),부천시,사설,3,10,37.5123311374,126.7694862939
뉴대성병원장례식장(구 DS병원장례식장),부천시,사설,5,12,37.4919108853,126.783429345
휴앤유병원장례식장,부천시,사설,5,6,37.4830020422,126.77253176020001
세종병원장례식장,부천시,사설,4,6,37.4810423491,126.7911902926
부천장례식장,부천시,사설,12,20,37.501804889300004,126.79343778079999
부천성모병원장례식장,부천시,사설,9,20,37.4874980299,126.79302961009999
분당차병원장례식장,성남시,사설,4,10,37.41046647470001,127.1258348309
성남시의료원장례식장,성남시,공설,9,28,37.444849867100004,127.1390489311
태평서울병원소망장례식장,성남시,사설,4,6,37.43863042770001,127.1274354979
주식회사 분당제생병원장례식장,성남시,사설,7,12,37.3882075823,127.1217770322
성남시장례협동조합,성남시,공설,7,14,37.420927529,127.183092828
분당서울대학교병원 장례식장,성남시,사설,12,20,37.34861260860001,127.12546456159998
성모장례식장,성남시,사설,3,4,37.40471133610001,127.1570941254
성남중앙병원장례식장,성남시,사설,8,15,37.4524448785,127.1622468139
수원요양병원장례식장,수원시,사설,5,10,37.2608978321,127.0647299028
한독병원장례식장,수원시,사설,3,8,37.269641747,127.027222564
동수원장례식장,수원시,사설,3,8,37.2786436587,127.0332801195
아주대학병원장례식장,수원시,사설,12,18,37.28093331899999,127.0496001709
경기도의료원 수원병원장례식장,수원시,공설,6,8,37.2918869067,126.9963395675
성빈센트병원장례식장,수원시,사설,7,14,37.27789942649999,127.0274529236
(주)중앙병원장례식장,수원시,사설,4,8,37.2598171797,127.0228858068
수원시연화장장례식장,수원시,공설,12,18,37.2899205022,127.08417066250001
시흥장례원,시흥시,사설,6,9,37.370786908,126.7387979777
시화병원장례식장,시흥시,사설,7,12,37.3503750989,126.7366443594
시흥누리병원장례식장,시흥시,사설,4,8,37.43844942340001,126.78903752300002
신천연합병원장례식장,시흥시,사설,3,6,37.44452660559999,126.789375692
센트럴병원장례식장,시흥시,사설,5,8,37.3368704199,126.72797586550001
신천제일병원장례식장,시흥시,사설,3,4,37.4414045713,126.7843408342
시흥우리장례식장,시흥시,사설,4,8,37.3358363471,126.7479559003
국화향기,안산시,사설,4,6,37.3167670968,126.873993316
세화병원장례식장,안산시,사설,3,4,37.3020441979,126.86155674540001
플러스단원병원장례문화원,안산시,사설,4,8,37.3002371351,126.8109664473
한사랑병원장례문화센타,안산시,사설,3,6,37.3071016672,126.84845801520001
사랑의병원장례식장,안산시,사설,4,6,37.3269215026,126.84492330099998
안산온누리병원장례식장,안산시,사설,1,6,37.3419367346,126.8175173961
(주)코스모스제일장례식장,안산시,사설,9,8,37.303525538399995,126.87564897820002
안산장례식장,안산시,사설,5,10,37.2805384809,126.8452916798
고려대안산병원장례식장,안산시,사설,6,12,37.31770370520001,126.8246661096
한도병원장례식장,안산시,사설,5,10,37.3340553037,126.8076211068
안산시민장례문화원,안산시,사설,4,8,37.3342196066,126.79273026100002
동안산병원장례식장,안산시,사설,2,4,37.335628969599995,126.85314480620002
성혜원장례식장,안성시,사설,6,12,37.016547886400005,127.26903411370002
파라밀장례식장,안성시,사설,2,4,37.06465868390001,127.38854982
경기도의료원 안성병원장례식장,안성시,공설,7,12,37.0173057984,127.26029717499999
동일죽장례식장,안성시,사설,3,4,37.10156969700001,127.5140112153
동인병원장례식장,안성시,사설,3,6,37.0049595787,127.2665739663
공도장례식장(영화원),안성시,사설,5,8,37.01613377270001,127.16365928790002
도민장례식장,안성시,사설,4,8,36.9967466606,127.1521241411
안양장례식장,안양시,사설,10,14,37.3797160578,126.9417840156
샘안양병원장례식장,안양시,사설,5,11,37.392893947900006,126.9248195521
한림대성심병원장례식장,안양시,사설,6,10,37.3916536825,126.96197370700001
안양메트로병원장례식장,안양시,사설,7,14,37.3783077894,126.93563865740002
양주소망장례식장,양주시,사설,4,10,37.8444924497,127.05411653330002
큰길장례문화원,양주시,사설,4,6,37.81018662740001,126.99553206180002
양주장례문화원,양주시,사설,5,14,37.8125044718,127.04456131260001
광적장례식장,양주시,사설,3,6,37.813524542,126.9899651583
회천농협장례문화원,양주시,사설,5,6,37.85510541440001,127.05294997349999
양주한국병원장례문화원 주식회사,양주시,사설,6,14,37.8389018645,127.072902388
양서농협장례문화원,양평군,사설,5,8,37.54208652,127.31854301099999
효병원장례식장,양평군,사설,3,6,37.48209850710001,127.5888915032
별그리다(사담재),양평군,사설,1,1,37.4208837349,127.7882350603
용문장례식장,양평군,사설,2,4,37.511017397900005,127.62530397849999
양평병원장례식장,양평군,사설,4,6,37.4939488353,127.50348430379998
양평 갈월장례식장,양평군,사설,3,6,37.47215307950001,127.512847383
양평장례식장,양평군,사설,5,12,37.4972478105,127.50436687669999
